gene_set,gene_symbol,pathway_level,regulatory_role,cell_type,pmids,reference_gene_set
IMMPRINT_BCR_SIGNALLING,PLCG2,2,none,B cell,22236196,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR
IMMPRINT_BCR_SIGNALLING,PIK3CD,2,none,B cell,24136356,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR
IMMPRINT_BCR_SIGNALLING,PIK3R1,2,none,B cell,25133428,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR
IMMPRINT_BCR_SIGNALLING,AKT1,2,none,B cell,10438924;10521450,
IMMPRINT_BCR_SIGNALLING,CARD11,2,none,B cell,11278692,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR
IMMPRINT_BCR_SIGNALLING,BCL10,2,none,B cell,25365219,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR
IMMPRINT_BCR_SIGNALLING,MALT1,2,none,B cell,23727036,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR
IMMPRINT_BCR_SIGNALLING,NFATC1,2,none,B cell,8202141,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR
IMMPRINT_BCR_SIGNALLING,NFKB1,2,none,B cell,1992489,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR
IMMPRINT_BCR_SIGNALLING,RELA,2,none,B cell,2125960,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR
IMMPRINT_BCR_SIGNALLING,VAV1,2,none,B cell,7700358,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR
IMMPRINT_CGAS_STING_SIGNALLING,CGAS,1,none,pan,23258413,REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES
IMMPRINT_CGAS_STING_SIGNALLING,STING1,1,none,pan,18724357,REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES
IMMPRINT_CGAS_STING_SIGNALLING,TBK1,2,none,pan,22394562,REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES
IMMPRINT_CGAS_STING_SIGNALLING,IKBKE,2,none,pan,12692549,REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA
IMMPRINT_CGAS_STING_SIGNALLING,IRF3,2,none,pan,22394562,REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES
IMMPRINT_CGAS_STING_SIGNALLING,NFKB1,2,none,pan,24600004,REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA
IMMPRINT_CGAS_STING_SIGNALLING,RELA,2,none,pan,24600004,REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA
IMMPRINT_CGAS_STING_SIGNALLING,IFNB1,3,none,pan,25029335,REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA
IMMPRINT_CGAS_STING_SIGNALLING,TREX1,2,inhibitory,pan,26223655,REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES
IMMPRINT_CGAS_STING_SIGNALLING,ENPP1,2,inhibitory,pan,25344812;30356045,
IMMPRINT_COMPLEMENT_PRODUCTION,C1QA,1,none,pan,1706597,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,C1QB,1,none,pan,1706597,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,C1QC,1,none,pan,1706597,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,C1R,2,none,pan,10092586,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,C1S,2,none,pan,3500856,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,C2,2,none,pan,6199794,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,C3,3,none,pan,2579379,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,C4A,3,none,pan,6546707,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,C4B,3,none,pan,6546707,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,C5,3,none,pan,1984448,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,C6,3,none,pan,2808363,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,C7,3,none,pan,3335508,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,C8A,3,none,pan,2820471,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,C8B,3,none,pan,2820472,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,C8G,3,none,pan,3676249,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,C9,3,none,pan,6095282,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,CFB,2,none,pan,6957884,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,CFD,2,none,pan,1374388,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,MBL2,1,none,pan,2477486,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,MASP1,2,none,pan,1460414,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,MASP2,2,none,pan,9087411,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,FCN1,1,none,pan,8573080,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,CFP,2,none,pan,2009915,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_CTLA4_SIGNALLING,CTLA4,1,none,T cell,7882171,REACTOME_CO_INHIBITION_BY_CTLA4
IMMPRINT_CTLA4_SIGNALLING,PPP2CA,2,none,T cell,11021529,REACTOME_CO_INHIBITION_BY_CTLA4
IMMPRINT_CTLA4_SIGNALLING,PPP2R1A,2,none,T cell,11021529,REACTOME_CO_INHIBITION_BY_CTLA4
IMMPRINT_CTLA4_SIGNALLING,PTPN11,2,none,T cell,8638161,REACTOME_CO_INHIBITION_BY_CTLA4
IMMPRINT_CTLA4_SIGNALLING,PTPN6,2,none,T cell,23601194,REACTOME_REGULATION_OF_T_CELL_ACTIVATION_BY_CD28_FAMILY
IMMPRINT_CTLA4_SIGNALLING,CD28,1,none,T cell,7534620,REACTOME_REGULATION_OF_T_CELL_ACTIVATION_BY_CD28_FAMILY
IMMPRINT_CTLA4_SIGNALLING,AKT1,2,none,T cell,16227604,REACTOME_CO_INHIBITION_BY_CTLA4
IMMPRINT_CTLA4_SIGNALLING,AP2M1,2,none,T cell,9256472;9175836,
IMMPRINT_CYTOLYTIC_ACTIVITY,PRF1,3,none,T cell; NK cell,10583959,GOBP_CELL_KILLING
IMMPRINT_CYTOLYTIC_ACTIVITY,GZMA,3,none,T cell; NK cell,3257574,GOBP_CELL_KILLING
IMMPRINT_CYTOLYTIC_ACTIVITY,GZMB,3,none,T cell; NK cell,3261871,GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY
IMMPRINT_CYTOLYTIC_ACTIVITY,GZMH,3,none,T cell; NK cell,2049336,GOBP_CELL_KILLING
IMMPRINT_CYTOLYTIC_ACTIVITY,GZMM,3,none,T cell; NK cell,7713495,GOBP_CELL_KILLING
IMMPRINT_CYTOLYTIC_ACTIVITY,GNLY,3,none,T cell; NK cell,2434598,GOBP_CELL_KILLING
IMMPRINT_CYTOLYTIC_ACTIVITY,NKG7,2,none,T cell; NK cell,32839608,GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY
IMMPRINT_CYTOLYTIC_ACTIVITY,KLRK1,1,none,T cell; NK cell,10426993,GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY
IMMPRINT_CYTOLYTIC_ACTIVITY,KLRD1,1,none,T cell; NK cell,8943374,GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY
IMMPRINT_CYTOLYTIC_ACTIVITY,KLRC2,1,none,T cell; NK cell,2007850,GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY
IMMPRINT_CYTOLYTIC_ACTIVITY,CTSW,3,none,T cell; NK cell,11490002;9108299,
IMMPRINT_CYTOLYTIC_ACTIVITY,UNC13D,2,none,T cell; NK cell,14622600,GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY
IMMPRINT_CYTOLYTIC_ACTIVITY,STXBP2,2,none,T cell; NK cell,19804848,GOBP_CELL_KILLING
IMMPRINT_CYTOLYTIC_ACTIVITY,RAB27A,2,none,T cell; NK cell,10835631,GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY
IMMPRINT_CYTOLYTIC_ACTIVITY,LAMP1,2,none,T cell; NK cell,14580882,GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY
IMMPRINT_FATTY_ACID_OXIDATION,CPT1A,1,none,pan,7892212,GOBP_FATTY_ACID_BETA_OXIDATION
IMMPRINT_FATTY_ACID_OXIDATION,CPT2,1,none,pan,1988962,GOBP_FATTY_ACID_BETA_OXIDATION
IMMPRINT_FATTY_ACID_OXIDATION,CRAT,1,none,pan,7829107,GOBP_FATTY_ACID_BETA_OXIDATION
IMMPRINT_FATTY_ACID_OXIDATION,SLC25A20,1,none,pan,9399886,REACTOME_FATTY_ACID_METABOLISM
IMMPRINT_FATTY_ACID_OXIDATION,SLC22A5,1,none,pan,9685390,REACTOME_FATTY_ACID_METABOLISM
IMMPRINT_FATTY_ACID_OXIDATION,ACADM,2,none,pan,3035565,REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION
IMMPRINT_FATTY_ACID_OXIDATION,ACADL,2,none,pan,1774065,REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION
IMMPRINT_FATTY_ACID_OXIDATION,ACADVL,2,none,pan,7668252,REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION
IMMPRINT_FATTY_ACID_OXIDATION,ACADS,2,none,pan,2565344,REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION
IMMPRINT_FATTY_ACID_OXIDATION,HADHA,2,none,pan,8135828,REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION
IMMPRINT_FATTY_ACID_OXIDATION,HADHB,2,none,pan,8135828,REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION
IMMPRINT_FATTY_ACID_OXIDATION,HADH,2,none,pan,8687463,REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION
IMMPRINT_FATTY_ACID_OXIDATION,ECHS1,2,none,pan,9073515,REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION
