gene_set,cell_type,gene_symbol,pathway_level,pmids,reference_gene_set
IMMPRINT_BCR_SIGNALLING,B cell,NFKB1,2,1992489,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR
IMMPRINT_BCR_SIGNALLING,B cell,RELA,2,2125960,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR
IMMPRINT_BCR_SIGNALLING,B cell,VAV1,2,7700358,REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR
IMMPRINT_CGAS_STING_SIGNALLING,pan,CGAS,1,23258413,REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES
IMMPRINT_CGAS_STING_SIGNALLING,pan,STING1,1,18724357,REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES
IMMPRINT_CGAS_STING_SIGNALLING,pan,TBK1,2,22394562,REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES
IMMPRINT_CGAS_STING_SIGNALLING,pan,IKBKE,2,12692549,REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA
IMMPRINT_CGAS_STING_SIGNALLING,pan,IRF3,2,22394562,REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES
IMMPRINT_CGAS_STING_SIGNALLING,pan,NFKB1,2,24600004,REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA
IMMPRINT_CGAS_STING_SIGNALLING,pan,RELA,2,24600004,REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA
IMMPRINT_CGAS_STING_SIGNALLING,pan,IFNB1,3,19776740,REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA
IMMPRINT_CGAS_STING_SIGNALLING,pan,TREX1,2,26223655,REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES
IMMPRINT_CGAS_STING_SIGNALLING,pan,ENPP1,2,25344812;30356045,
IMMPRINT_COMPLEMENT_PRODUCTION,pan,C1QA,1,1706597,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,pan,C1QB,1,1706597,REACTOME_COMPLEMENT_CASCADE
